



Watchman  n. Man employed to look after an empty building etc. At night.
Float  —v. 1 a (cause to) rest or move on the surface of a liquid. B set (a stranded ship) afloat. 2 colloq. A move in a leisurely way. B (often foll. By before) hover before the eye or mind. 3 (often foll. By in) move or be suspended freely in a liquid or gas. 4 a start or launch (a company, scheme, etc.). B offer (stock, shares, etc.) On the stock market. 5 commerce cause or allow to have a fluctuating exchange rate. 6 circulate or cause (a rumour or idea) to circulate. —n. 1 thing that floats, esp.: a a raft. B a light object as an indicator of a fish biting or supporting a fishing-net. C a hollow structure enabling an aircraft to float on water. D a floating device on water, petrol, etc., controlling the level. 2 small esp. Electrically-powered vehicle or cart (milk float). 3 decorated platform or tableau on a lorry in a procession etc. 4 a supply of loose change in a shop, at a fête, etc. B petty cash. 5 theatr. (in sing. Or pl.) Footlights. 6 tool for smoothing plaster.  floatable adj. [old english]

Dense  adj. 1 closely compacted; crowded together; thick. 2 colloq. Stupid.  densely adv. Denseness n. [latin densus]


Countermand  —v. 1 revoke (a command). 2 recall by a contrary order. —n. Order revoking a previous one. [latin: related to *mandate]

Forgiving  adj. Inclined to forgive.
Bass1  —n. 1 a lowest adult male singing voice. B singer with this voice. 2 instrument pitched lowest in its family. 3 colloq. Bass guitar or double-bass. 4 low-frequency output of a radio, record-player, etc. —adj. 1 lowest in musical pitch. 2 deep-sounding.  bassist n. (in sense 3). [from *base2 altered after italian basso]

Maths  n. Colloq. Mathematics. [abbreviation]
Dyke1  (also dike) —n. 1 embankment built to prevent flooding. 2 low wall of turf or stone. —v. (-king) provide or protect with dyke(s). [related to *ditch]
In-2  prefix (also il-, im-, ir-) in, on, into, towards, within (induce; influx; insight; intrude). [from *in, or from latin in (prep.)]
Bondage  n. 1 slavery. 2 subjection to constraint etc. 3 sexual practices involving constraint. [anglo-latin: related to *bondsman]

Ivory  n. (pl. -ies) 1 hard substance of the tusks of an elephant etc. 2 creamy-white colour of this. 3 (usu. In pl.) A article made of ivory. B slang thing made of or resembling ivory, esp. A piano key or a tooth. [latin ebur]

Zoophyte  n. Plantlike animal, esp. A coral, sea anemone, or sponge. [greek zoion animal, phuton plant]
Electricity  n. 1 form of energy occurring in elementary particles (electrons, protons, etc.) And hence in larger bodies containing them. 2 science of electricity. 3 supply of electricity. 4 excitement.
Day release  n. Part-time education for employees.


Cropper  n. Crop-producing plant of a specified quality.  come a cropper slang fall heavily; fail badly.

Slavish  adj. 1 like slaves. 2 without originality.  slavishly adv.
Onomatopoeia  n. Formation of a word from a sound associated with what is named (e.g. Cuckoo, sizzle).  onomatopoeic adj. [greek onoma name, poieo make]


Toasting-fork  n. Long-handled fork for making toast.
Shut-down  n. Closure of a factory etc.

Travail  literary —n. 1 painful effort. 2 pangs of childbirth. —v. Make a painful effort, esp. In childbirth. [french travaillier]
Compensation  n. 1 compensating or being compensated. 2 money etc. Given as recompense.

Tar2  n. Colloq. Sailor. [from *tarpaulin]

Doff  v. Remove (a hat or clothes). [from do off]

Placid  adj. 1 calm; not easily excited or irritated. 2 tranquil, serene.  placidity n. Placidly adv. Placidness n. [latin placeo please]


Heathen  —n. 1 person not belonging to a predominant religion, esp. Not a christian, jew, or muslim. 2 person regarded as lacking culture or moral principles. —adj. 1 of heathens. 2 having no religion. [old english]

Sodium chloride  n. Common salt.
Protocol  —n. 1 official formality and etiquette, esp. As observed on state occasions etc. 2 original draft of esp. The terms of a treaty. 3 formal statement of a transaction. —v. (-ll-) draw up or record in a protocol. [greek kolla glue]

Starchy  adj. (-ier, -iest) 1 of, like, or containing starch. 2 prim, formal.  starchily adv. Starchiness n.
Magma  n. (pl. -s) molten rock under the earth's crust, from which igneous rock is formed by cooling. [greek masso knead]
Sane  adj. 1 of sound mind; not mad. 2 (of views etc.) Moderate, sensible. [latin sanus healthy]




Underpants  n.pl. Undergarment, esp. Men's, covering the genitals and buttocks.
Voyage  —n. Journey, esp. A long one by sea or in space. —v. (-ging) make a voyage.  voyager n. [latin *viaticum]
Protuberant  adj. Bulging out; prominent.  protuberance n. [latin: related to *tuber]
Half-hearted  adj. Lacking enthusiasm.  half-heartedly adv. Half-heartedness n.
Diapason  n. 1 compass of a voice or musical instrument. 2 fixed standard of musical pitch. 3 either of two main organ-stops. [greek, = through all (notes)]
Sociology  n. The study of society and social problems.  sociological adj. Sociologist n. [french: related to *social]

Usurer  n. Person who practises usury.
Wiper  n. = *windscreen wiper.

Metabolite  n. Substance formed in or necessary for metabolism.
Polymorphous  adj. (also polymorphic) passing through various forms in successive stages of development.




Dab hand  n. (usu. Foll. By at) colloq. Expert. [dab adept, origin unknown]

Mccarthyism  n. Hist. Hunting out and sacking of communists in the us. [mccarthy, name of a senator]
Sandstone  n. Sedimentary rock of compressed sand.
Clamber  —v. Climb laboriously using hands and feet. —n. Difficult climb. [from *climb]
Ra  abbr. 1 a royal academy. B royal academician. 2 royal artillery.

Significant figure  n. Digit conveying information about a number containing it.

Fo  abbr. Flying officer.



Lectern  n. 1 stand for holding a book in a church etc. 2 similar stand for a lecturer etc. [latin lectrum from lego read]
Lock1  —n. 1 mechanism for fastening a door etc., with a bolt that requires a key of a particular shape to work it. 2 confined section of a canal or river within sluice-gates, for moving boats from one level to another. 3 a turning of a vehicle's front wheels. B (in full full lock) maximum extent of this. 4 interlocked or jammed state. 5 wrestling-hold that keeps an opponent's limb fixed. 6 (in full lock forward) player in the second row of a rugby scrum. 7 mechanism for exploding the charge of a gun. —v. 1 a fasten with a lock. B (foll. By up) shut (a house etc.) Thus. C (of a door etc.) Be lockable. 2 a (foll. By up, in, into) enclose (a person or thing) by locking. B (foll. By up) colloq. Imprison (a person). 3 (often foll. By up, away) store inaccessibly (capital locked up in land). 4 (foll. By in) hold fast (in sleep, an embrace, a struggle, etc.). 5 (usu. In passive) (of land, hills, etc.) Enclose. 6 make or become rigidly fixed. 7 (cause to) jam or catch.  lock on to (of a missile etc.) Automatically find and then track (a target). Lock out 1 keep out by locking the door. 2 (of an employer) subject (employees) to a lockout. Under lock and key locked up.  lockable adj. [old english]





Threaten  v. 1 make a threat or threats against. 2 be a sign of (something undesirable). 3 (foll. By to + infin.) Announce one's intention to do an undesirable thing. 4 (also absol.) Warn of the infliction of (harm etc.).
Revers  n. (pl. Same) 1 turned-back edge of a garment revealing the undersurface. 2 material on this surface. [french: related to *reverse]


Ikebana  n. Art of japanese flower arrangement. [japanese, = living flowers]
Toilet roll  n. Roll of toilet paper.

Kitbag  n. Large usu. Cylindrical bag used for a soldier's or traveller's kit.
Townspeople  n.pl. People of a town.




Haggard  adj. Looking exhausted and distraught. [french hagard]
Toy  —n. 1 plaything. 2 thing regarded as providing amusement. 3 (usu. Attrib.) Diminutive breed of dog etc. —v. (usu. Foll. By with) 1 trifle, amuse oneself, flirt. 2 move a thing idly. [origin unknown]







Unnecessary  adj. 1 not necessary. 2 superfluous.  unnecessarily adv.
Onus  n. (pl. Onuses) burden, duty, responsibility. [latin]
Alchemy  n. Medieval chemistry, esp. Seeking to turn base metals into gold.  alchemist n. [arabic]
Paraphrase  —n. Expression of a passage in other words. —v. (-sing) express the meaning of (a passage) thus. [greek: related to *para-1]


Predicament  n. Difficult or unpleasant situation. [latin: related to *predicate]
Button mushroom  n. Young unopened mushroom.

Craving  n. Strong desire or longing.
-ize  suffix (also -ise) forming verbs, meaning: 1 make or become such (americanize; realize). 2 treat in such a way (monopolize; pasteurize). 3 a follow a special practice (economize). B have a specified feeling (sympathize).  -ization suffix forming nouns. [greek -izo]
Toddy  n. (pl. -ies) drink of spirits with hot water and sugar etc. [hindustani tar palm]


Aob  abbr. Any other business.
Toil  —v. 1 work laboriously or incessantly. 2 make slow painful progress. —n. Intensive labour; drudgery. [anglo-french toil(er) dispute]



Videodisc  n. Disc for recording moving pictures and sound.


Mercurial  adj. 1 (of a person) volatile. 2 of or containing mercury. [latin: related to *mercury]







Cheerful  adj. 1 in good spirits, noticeably happy. 2 bright, pleasant.  cheerfully adv. Cheerfulness n.

Codex  n. (pl. Codices) 1 ancient manuscript text in book form. 2 collection of descriptions of drugs etc. [latin, = tablet, book]




Vitaminize  v. (also -ise) (-zing or -sing) add vitamins to.



Armature  n. 1 rotating coil or coils of a dynamo or electric motor. 2 iron bar placed across the poles of a horseshoe magnet to preserve its power. 3 metal framework on which a sculpture is moulded. [latin armatura, = armour]

Elliptic  adj. (also elliptical) of or in the form of an ellipse.  elliptically adv.

Barefaced  adj. Shameless, impudent.
Delivery  n. (pl. -ies) 1 delivering or being delivered. 2 regular distribution of letters etc. (two deliveries a day). 3 thing delivered. 4 childbirth. 5 deliverance. 6 style of throwing a ball, delivering a speech, etc. [anglo-french: related to *deliver]


Cane sugar  n. Sugar from sugar-cane.
Bathhouse  n. Public building with baths.
Furnace  n. 1 enclosed structure for intense heating by fire, esp. Of metals or water. 2 very hot place. [latin fornax from fornus oven]
Ulterior  adj. Not evident or admitted; hidden, secret (esp. Ulterior motive). [latin, = further]
Peacetime  n. Period when a country is not at war.
Oiled  adj. Slang drunk.
Copernican system  n. Theory that the planets (including the earth) move round the sun. [copernicus, name of an astronomer]

Rearrest  —v. Arrest again. —n. Rearresting or being rearrested.


Wire wool  n. Mass of fine wire for scouring or rubbing down.
Yucca  n. Subtropical white-flowered plant with swordlike leaves, often grown as a house-plant. [carib]
Qr.  Abbr. Quarter(s).
Inattentive  adj. 1 not paying attention. 2 neglecting to show courtesy.  inattention n. Inattentively adv.
Commute  v. (-ting) 1 travel some distance to and from work. 2 (usu. Foll. By to) change (a punishment) to one less severe. 3 (often foll. By into, for) change (one kind of payment or obligation) for another. 4 exchange.  commutable adj. Commutation n. [latin muto change]




Round trip  n. Trip to one or more places and back again.

Usage  until, as opposed to till, is used esp. At the beginning of a sentence and in formal style, e.g. Until you told me, i had no idea; he resided there until his decease.


Drunkard  n. Person who is habitually drunk.


Rose2  past of *rise.
Usage  this phrase is often preceded by the, which is, strictly speaking, unnecessary, since hoi means ‘the’.


Rupture  —n. 1 breaking; breach. 2 breach in a relationship; disagreement and parting. 3 abdominal hernia. —v. (-ring) 1 burst (a cell or membrane etc.). 2 sever (a connection). 3 affect with or suffer a hernia. [latin rumpo rupt- break]
Aerospace  n. 1 earth's atmosphere and outer space. 2 aviation in this.
Hindmost  adj. Furthest behind.

Recapitulate  v. (-ting) 1 go briefly through again; summarize. 2 go over the main points or headings of. [latin: related to *capital]

Easily  adv. 1 without difficulty. 2 by far (easily the best). 3 very probably (it could easily snow).
Tyrannosaurus  n. (pl. -ruses) (also tyrannosaur) dinosaur with very short front legs and a long well-developed tail. [from *tyrant, after dinosaur]


Mp  abbr. Member of parliament.
Turpentine substitute  n. = *white spirit.

Erratum  n. (pl. Errata) error in printing or writing. [latin: related to *err]
Fromage frais  n. Smooth low-fat soft cheese.

Tolerance  n. 1 willingness or ability to tolerate; forbearance. 2 allowable variation in any measurable property.


Palatal  —adj. 1 of the palate. 2 (of a sound) made by placing the tongue against the hard palate (e.g. Y in yes). —n. Palatal sound.
Par excellence  adv. Being the supreme example of its kind (the short story par excellence). [french]
Lugger  n. Small ship with four-cornered sails. [from *lugsail]



Microphone  n. Instrument for converting sound waves into electrical energy for reconversion into sound after transmission or recording. [from *micro-, greek phone sound]






Earthbound  adj. 1 attached to the earth or earthly things. 2 moving towards the earth.
Derestrict  v. Remove restrictions (esp. Speed limits) from.  derestriction n.
Gecko  n. (pl. -s) tropical house-lizard. [malay]
Snog  slang —v. (-gg-) engage in kissing and caressing. —n. Period of this. [origin unknown]


Marshalling yard  n. Yard for assembling goods trains etc.
Hgv  abbr. Heavy goods vehicle.


Rib  —n. 1 each of the curved bones joined to the spine in pairs and protecting the chest. 2 joint of meat from this part of an animal. 3 supporting ridge, timber, rod, etc. Across a surface or through a structure. 4 knitting combination of plain and purl stitches producing a ribbed design. —v.


Ballista  n. (pl. -stae) (in ancient warfare) catapult for hurling large stones etc. [latin from greek ballo throw]
Safety-valve  n. 1 (in a steam boiler) automatic valve relieving excess pressure. 2 means of venting excitement etc. Harmlessly.
Heather  n. Any of various shrubs growing esp. On moors and heaths. [origin unknown]
Retrain  v. Train again or further, esp. For new work.
Groundsheet  n. Waterproof sheet for spreading on the ground.



-tude  suffix forming abstract nouns (altitude; solitude). [latin -tudo]

Bread sauce  n. White sauce thickened with breadcrumbs.

Timbre  n. Distinctive character of a musical sound or voice apart from its pitch and volume. [greek: related to *tympanum]



Imperceptible  adj. 1 not perceptible. 2 very slight, gradual, or subtle.  imperceptibility n. Imperceptibly adv.

Veronal  n. Sedative drug. [german from verona in italy]
Gibbet  —n. Hist. 1 a gallows. B post with an arm on which an executed criminal was hung. 2 (prec. By the) death by hanging. —v. (-t-) 1 put to death by hanging. 2 expose or hang up on a gibbet. [french gibet]
Hullabaloo  n. Uproar. [reduplication of hallo, hullo, etc.]

Winch  —n. 1 crank of a wheel or axle. 2 windlass. —v. Lift with a winch. [old english]

Foreordain  v. Destine beforehand.






Cornet  n. 1 brass instrument resembling a trumpet but shorter and wider. 2 conical wafer for holding ice-cream.  cornetist n. (also cornettist). [latin cornu: related to *corn2]
Hard sell  n. Aggressive salesmanship.
Open day  n. Day when the public may visit a place normally closed to them.



Unscarred  adj. Not scarred or damaged.



Invaluable  adj. Above valuation; very valuable.  invaluably adv.


Billy2  n. (pl. -ies) (in full billy-goat) male goat. [from the name billy]
Blimey  int. Coarse slang expression of surprise, contempt, etc. [(god) blind me!]

Longshore  attrib. Adj. 1 existing on or frequenting the shore. 2 directed along the shore. [from along shore]
Dissoluble  adj. That can be disintegrated, loosened, or disconnected.

Impart  v. (often foll. By to) 1 communicate (news etc.). 2 give a share of (a thing). [latin: related to *part]
Infanticide  n. 1 killing of an infant, esp. Soon after birth. 2 person who kills an infant.
Hairstyle  n. Particular way of arranging the hair.  hairstylist n.
Sine die  adv. Formal indefinitely (postponed sine die). [latin]
Child-minder  n. Person looking after children for payment.
Parliament  n. 1 (parliament) a (in the uk) highest legislature, consisting of the sovereign, the house of lords, and the house of commons. B members of this for a particular period, esp. Between elections. 2 similar legislature in other states. [french: related to *parlance]
Grant  —v. 1 a consent to fulfil (a request etc.). B allow (a person) to have (a thing). 2 give formally; transfer legally. 3 (often foll. By that) admit as true; concede. —n. 1 process of granting. 2 sum of money given by the state. 3 legal conveyance by written instrument.  take for granted 1 assume something to be true or valid. 2 cease to appreciate through familiarity.  grantor n. (esp. In sense 2 of v.). [french gr(e)anter var. Of creanter from latin credo entrust]

Marinade  —n. 1 mixture of wine, vinegar, oil, spices, etc., for soaking meat, fish, etc. Before cooking. 2 meat, fish, etc., so soaked. —v. (-ding) soak in a marinade. [spanish marinar pickle in brine: related to *marine]

Gangrene  n. Death of body tissue, usu. Resulting from obstructed circulation.  gangrenous adj. [greek gaggraina]

Occasional  adj. 1 happening irregularly and infrequently. 2 made or meant for, or acting on, a special occasion.  occasionally adv.



Urbane  adj. Suave; elegant.  urbanity n. [latin: related to *urban]

Split personality  n. Condition in which a person seems to have two alternating personalities.


Scram  v. (-mm-) (esp. In imper.) Colloq. Go away. [perhaps from *scramble]
Politician  n. 1 person involved in politics, esp. Professionally as an mp. 2 esp. Us derog. Person who manoeuvres; schemer, time-server.

Tuck-in  n. Colloq. Large meal.

Split pea  n. Pea dried and split in half for cooking.

Welfare work  n. Organized effort for the welfare of the poor, disabled, etc.
Dti  abbr. Department of trade and industry.





Relic  n. 1 object that is interesting because of its age or association. 2 part of a dead holy person's body or belongings kept as an object of reverence. 3 surviving custom or belief etc. From a past age. 4 memento or souvenir. 5 (in pl.) What has survived. 6 (in pl.) Dead body or remains of a person. [latin reliquiae remains: related to *relinquish]
Crisp  —adj. 1 hard but brittle. 2 a (of air) bracing. B (of style or manner) lively, brisk and decisive. C (of features etc.) Neat, clear-cut. D (of paper) stiff and crackling. E (of hair) closely curling. —n. (in full potato crisp) potato sliced thinly, fried, and sold in packets. —v. Make or become crisp.  crisply adv. Crispness n. [latin crispus curled]
Plaint  n. 1 law accusation; charge. 2 literary complaint, lamentation. [french plainte from latin plango lament]
Meson  n. Elementary particle believed to help hold nucleons together in the atomic nucleus. [from *meso-]
Hyoscine  n. Poisonous alkaloid found in plants of the nightshade family, used to prevent motion sickness etc. [greek huoskuamos henbane from hus huos pig, kuamos bean]

Secretary  n. (pl. -ies) 1 employee who assists with correspondence, records, making appointments, etc. 2 official of a society or company who writes letters, organizes business, etc. 3 principal assistant of a government minister, ambassador, etc.  secretarial adj. Secretaryship n. [latin secretarius: related to *secret]
Eukaryote  n. Organism consisting of a cell or cells in which the genetic material is contained within a distinct nucleus.  eukaryotic adj. [from *eu-, karyo- from greek karuon kernel, -ote as in *zygote]
Overrun  v. (-nn-; past -ran; past part. -run) 1 swarm or spread over. 2 conquer (a territory) by force. 3 (usu. Absol.) Exceed (an allotted time).



Angle2  v. (-ling) 1 fish with hook and line. 2 (foll. By for) seek an objective indirectly (angled for a loan).  angler n. [old english]

Iffy  adj. (-ier, -iest) colloq. Uncertain; dubious.


Victoria sponge  n. Sandwich sponge cake with a jam filling.
Self-regard  n. Proper regard for oneself.
Unwarranted  adj. 1 unauthorized. 2 unjustified.


Missile  n. 1 object or weapon suitable for throwing at a target or for discharge from a machine. 2 weapon directed by remote control or automatically. [latin mitto miss- send]


Byte  n. Computing group of eight binary digits, often representing one character. [origin uncertain]
Undefined  adj. Not defined; vague, indefinite.
Ebonite  n. Vulcanite. [from *ebony]
Playbill  n. Poster advertising a play.

Kudu  n. (also koodoo) (pl. Same or -s) african antelope with white stripes and corkscrew-shaped ridged horns. [xhosa]
Freudian  —adj. Of freud, his theories, or his method of psychoanalysis. —n. Follower of freud.
Holy see  n. Papacy or papal court.
Easy chair  n. Large comfortable armchair.
Splendiferous  adj. Colloq. Splendid. [from *splendour]
Chastise  v. (-sing) 1 rebuke severely. 2 punish, esp. By beating.  chastisement n.

Knockabout  attrib. Adj. 1 (of comedy) boisterous; slapstick. 2 (of clothes) hard-wearing.
Black rod  n. Principal usher of the house of lords etc.
Intercommunicate  v. (-ting) 1 communicate reciprocally. 2 (of rooms etc.) Open into each other.  intercommunication n.

Insured  n. (usu. Prec. By the) person etc. Covered by insurance.
Episcopal  adj. 1 of a bishop or bishops. 2 (of a church) governed by bishops.  episcopally adv. [church latin: related to *bishop]
Chain reaction  n. 1 chemical or nuclear reaction forming products which initiate further reactions. 2 series of events, each caused by the previous one.
Sooty  adj. (-ier, -iest) 1 covered with soot. 2 black or brownish-black.

Chosen  past part. Of *choose.
Banner headline  n. Large, esp. Front-page, newspaper headline.


Brunt  n. Chief impact of an attack, task, etc. (esp. Bear the brunt of). [origin unknown]
Uncontrolled  adj. Not controlled; unrestrained.


Scurry  —v. (-ies, -ied) run or move hurriedly, esp. With short quick steps; scamper. —n. (pl. -ies) 1 act or sound of scurrying. 2 flurry of rain or snow. [abbreviation of hurry-scurry reduplication of *hurry]

Stateroom  n. 1 state apartment. 2 large private cabin in a passenger ship.
Altitude  n. Height, esp. Of an object above sea level or above the horizon. [latin altus high]
Pettifog  v. (-gg-) 1 practise legal trickery. 2 quibble or wrangle about trivial points. [origin unknown]
Hiding-place  n. Place of concealment.


Heavenly  adj. 1 of heaven; divine. 2 of the heavens or sky. 3 colloq. Very pleasing; wonderful.



Wrinkly  —adj. (-ier, -iest) having wrinkles. —n. Slang offens. Old or middle-aged person.

Wolf in sheep's clothing  n. Hostile person who pretends friendship.

-fication  suffix (usu. As -ification) forming nouns of action from verbs in -fy (purification; simplification).
Haste  —n. Urgency of movement or action; excessive hurry. —v. (-ting) archaic = *hasten 1.  in haste quickly, hurriedly. Make haste hurry; be quick. [french from germanic]

A level  n. = *advanced level.
Aural  adj. Of the ear or hearing.  aurally adv. [latin auris ear]



Usage  the farthing was withdrawn from circulation in 1961.

Salt-cellar  n. Container for salt at table. [earlier salt saler from french salier salt-box]
Parcel  —n. 1 goods etc. Wrapped up in a package for posting or carrying. 2 piece of land. 3 quantity dealt with in one commercial transaction. —v. (-ll-; us -l-) 1 (foll. By up) wrap as a parcel. 2 (foll. By out) divide into portions. [latin: related to *particle]

Tender2  —v. 1 offer, present (one's services, resignation, money as payment, etc.). 2 (often foll. By for) offer a tender. —n. Offer, esp. In writing, to execute work or supply goods at a stated price.  put out to tender seek competitive tenders for (work etc.).  tenderer n. [french: related to *tend1]


Commination  n. Literary threatening of divine vengeance.  comminatory adj. [latin: related to *menace]
Renege  v. (-ging) (often foll. By on) go back on (one's word etc.). [latin nego deny]

Travel agency  n. Agency that makes the necessary arrangements for travellers.  travel agent n.

Non-contributory  adj. Not involving contributions.
Libretto  n. (pl. -ti or -s) text of an opera etc.  librettist n. [italian, = little book]
Drape  —v. (-ping) 1 hang or cover loosely, adorn with cloth etc. 2 arrange (hangings etc.) Esp. In folds. —n. (in pl.) Us curtains. [latin drappus cloth]
Saintly  adj. (-ier, -iest) very holy or virtuous.  saintliness n.



Mistrust  —v. 1 be suspicious of. 2 feel no confidence in. —n. 1 suspicion. 2 lack of confidence.  mistrustful adj. Mistrustfully adv.
Nudist  n. Person who advocates or practises going unclothed.  nudism n.


Forewarn  v. Warn beforehand.




Hip-bath  n. Portable bath in which one sits immersed to the hips.




Vague  adj. 1 uncertain or ill-defined. 2 (of a person or mind) imprecise; inexact in thought, expression, or understanding.  vaguely adv. Vagueness n. [latin vagus wandering]
Spinal  adj. Of the spine. [latin: related to *spine]
Moiré pattern  n. Pattern observed when one pattern of lines etc. Is superimposed on another.
Dental  adj. 1 of the teeth or dentistry. 2 (of a consonant) produced with the tongue-tip against the upper front teeth (as th) or the ridge of the teeth (as n, s, t). [latin dens dent- tooth]
West  —n. 1 a point of the horizon where the sun sets at the equinoxes. B compass point corresponding to this. C direction in which this lies. 2 (usu. The west) a european civilization. B states of western europe and n. America. C western part of a country, town, etc. —adj. 1 towards, at, near, or facing the west. 2 from the west (west wind). —adv. 1 towards, at, or near the west. 2 (foll. By of) further west than.  go west slang be killed or destroyed etc. To the west (often followed by of) in a westerly direction. [old english]




Casework  n. Social work concerned with studying a person's family and background.  caseworker n.








Heavy industry  n. Industry producing metal, machinery, etc.

Phoneme  n. Unit of sound in a specified language that distinguishes one word from another (e.g. P, b, d, t as in pad, pat, bad, bat, in english).  phonemic adj. [greek phoneo speak]
Approbation  n. Approval, consent. [latin probo test]

Closed book  n. Subject one does not understand.

Constitutive  adj. 1 able to form or appoint. 2 component. 3 essential.
Harvest  —n. 1 a process of gathering in crops etc. B season of this. 2 season's yield. 3 product of any action. —v. Gather as harvest, reap. [old english]
Rainfall  n. 1 fall of rain. 2 quantity of rain falling within a given area in a given time.





Col-  see *com-.

Granule  n. Small grain. [latin diminutive of granum: related to *grain]

Unshaven  adj. Not shaved.
Hysteresis  n. Phenomenon whereby changes in an effect lag behind changes in its cause. [greek husteros coming after]
Pterodactyl  n. Large extinct flying reptile. [greek pteron wing, *dactyl]
Trumpet-call  n. Urgent summons to action.

Aqua  n. The colour aquamarine. [abbreviation]




Boyo  n. (pl. -s) welsh & ir. Colloq. (esp. As a form of address) boy, mate.
Silk-screen printing  n. = *screen printing.


Regurgitate  v. (-ting) 1 bring (swallowed food) up again to the mouth. 2 reproduce, rehash (information etc.).  regurgitation n. [latin gurges -git- whirlpool]
Public sector  n. State-controlled part of an economy, industry, etc.
Gamester  n. Gambler.
Discolor  v. (brit. Discolour) cause to change from its normal colour; stain; tarnish.  discoloration n.

Curmudgeon  n. Bad-tempered person.  curmudgeonly adj. [origin unknown]




Rainy  adj. (-ier, -iest) (of weather, a climate, day, etc.) In or on which rain is falling or much rain usually falls. [old english: related to *rain]





Interrelate  v. (-ting) 1 relate (two or more things) to each other. 2 (of two or more things) relate to each other.  interrelation n. Interrelationship n.
Here and now  adv. At this very moment; immediately.
Byplay  n. Secondary action, esp. In a play.


