healthy food;tofu
system of beliefs;creed
require;oblige
waitstaff overseer;steward
pasture portion;acre
rubicon crosser;caesar
lock feature;dial
frightening;scary
publicity slangily;ink
saintmoritz sight;alp
sentence subject usually;noun
react to gravity;sag
interpretation of what one sees;perception
garden statue;gnome
poke holes in;stab
dial sound;tone
singer lambert runnerup;adam
handle;arrange
cheese type;gouda
monstrous;inhuman
ration;mete
servilely defer to;kowtow
crackpot;maniac
establishment with a revo;disco
magicians cry;presto
sound from a nest;tweet
advocate;exponent
like some charge cards;gold
rugby forward;hooker
current amount;amperage
anthology;reader
toothed wheel;ratchet
maybe winkleman has tantrum over stovetop for daughter preferring open ranges;claustrophobia
mr claus;santa
ream out;widen
detached;aloof
ayatollahs faith;islam
royalty payer;licensee
like the space around a f;ample
drop ones guns;disarm
nursery for highflyers;eyrie
the guardian finally kick the bucket editor held in compilers arms;musketry
untouched;sane
part of scotland one operating support for transparency;mullion
wickedness not recorded after revolution;evil
school tie;pta
teachers charges;class
snapper trapper;net
like eyes when youre get;misty
olympian;lofty
caught some zs;slept
like a march wind;brisk
staircase support;newel
mirror;image
advantageous;useful
hopelessness;despair
lawyer put in the picture;brief
mild complaint;drat
show of smugness;smirk
outlet;exit
break off;dance
off course;afield
a range of bizarre islands partly visible from the east;sierra
scoring advantage;edge
tickled;glad
tooth next to a premolar;canine
dungeons  dragons player;elf
breeding place;nest
hardtobelieve story;tale
second letter addendum;pps
coarse cotton fabric;denim
apart;aside
it may be restricted;area
lit out from topclass landingplace;quay
a lot of credit goes to a writer showing imagination;poetic
exchange space for forestdweller;marten
former postman living abroad;expat
range of company found by mp on a ship;compass
orders;dicta
barns place;farm
salad bar servers;tongs
kind of acid;citric
sculptures and oils;art
microfilm unit;reel
waverers word;maybe
ones going through a stag;cast
your and my;our
its bought in bars;soap
division in a musical score;bar line
rowers;crew
like some smoothly runnin;oiled
doctors client;patient
stilllife piece;vase
get;grasp
kneehigh bearded figure;gnome
topic for madame de pompa;amour
unlawful;illicit
sensible;sane
arsenal so to speak;repertoire
initials for camilla;hrh
joyful hymn;carol
like the white rabbit;late
beall and endall;acme
one on board is back working in large house;mansion
achieved in school athlet;lettered
what makes him hide and get out of shape;deform
row of people perhaps one standing up;column
lawyers charge;fee
place for a barbecue;patio
corvine call;caw
keep concealed with up;hush
and;plus
house of lords member;aristocrat
stone smoother;facer
guff;lip
genetic stuff;rna
it may pay off if it has;lotto
quakers joint alliance;friendship
inquiring;nosy
bring bad luck to;hoodoo
river rough cloth;tweed
weak poker hand;pair
jefferson memorial topper;dome
half of thats covered by loud noise;thunder
museo holdings;arte
jimmy before volume reduced vaguely complaining;peevish
burn unsteadily;flicker
schism;disunion
sloppylanding sound;splat
active;busy
one taken for a ride;horse
greek x;chi
cracker coating;salt
howard is disheartened imbibing ale and getting drunk to make a point;headland
schnozz;nose
puzzling question about right for sacred text;koran
waylay;ambush
lose ground;erode
many a homecoming attende;alum
relative of a stork;ibis
fill with ardour;enamour
the two of them;both
stand;easel
come to a point;taper
dull as vision;bleary
spirit of the time;zeitgeist
listening;alert
onetime name in latenigh;par
knights suit;armor
pressing ones suit;ironing
ceramacists medium;tile
clock face;dial
cheat on ones diet;nosh
vassal;serf
rockets path maybe;arc
computer capacity for sh;ram
temporary downturn;sag
hammer accompanier;gong
animal whose name has a s;gnu
provoke;instigate
sec;jiff
one in a trap;tourist
widespread language of ea;swahili
supply joke from the internet;equip
drum played with the hand;bongo
coldblooded animal;reptile
difficult place to walk;mire
clothing;dress
clark of gone with the w;gable
begin;originate
bluer than blue;obscene
exclamation of relief;phew
wanted soldier;awol
pin of a sort;thole
pic taker;cam
vatican vip;pope
complete change;metamorphosis
taster at times;chef
bar opening;mini
transcendent state;nirvana
deficient;lacking
toyota suv;sequoia
severe sentence;life
tank;vat
dramatize with out;act
ritz eg to brits;biscuit
having attractive gams;leggy
one with big ears;hare
perpendicular wing;ell
soho loft output;art
potpourri bag;sachet
place for signatures;treaty
heed;obey
make out;fare
coin at an arcade;token
no childrens viewing;smut
destiny;kismet
play a big part;star
wrap in fiberglass;insulate
unlikely party animal;nerd
paradisiacal place;eden
water around the ijsselme;zee
menottis lullaby for;aria
pirates realm;sea
copiers do it;scan
a whole lot;oodles
subject of a clive cussle;titanic
on the side;apart
husbands captivated by pet rabbit;chat
many a vacationers need;sitter
states rights amendment;tenth
chute site;rodeo
tavern;bar
silicon fan dismissing introduction of other metal;silver
prey of wild dogs and cro;emu
surety concern;loss
they have tops and bottom;innings
extremely popular;huge
dimwit;moron
storm caused by parking on drive;ramp
bad childs stocking fill;coal
provoked response;rise
gun an engine;rev
bygone sovereign;shah
work surface sometimes;lap
playwright harold kennels old dog;pointer
legal body;tribunal
gather;presume
produce;generate
separate;part
salon application;tint
brown bagger;wino
what some scouts seek;talent
language in which k and;czech
kind of control;damage
like a 10;ideal
apropos;felicitous
dessert of chilled fruit;ambrosia
form of government;polity
one may be honorable;mention
needing tuning maybe;flat
phony phone caller;crank
means to get on heading for career in us city;agency
subject of a magritte pai;pipe
drone;intone
showed subservience;knelt
something you can do to t;draw
grad students grilling;oral
really bad;abysmal
lousetobe;nit
restroom informally;lav
likeminded;kindred
shin armor;greave
nasty;ugly
starfish or sea cucumber;feeder
soak;drown
lecterns locale;dais
crummy feeling;malaise
slot;niche
campers rental;raft
curling surface;ice
zodiac symbol;ram
sixwinged being;seraph
man cast out of paradise;adam
mr long rebuilt extension at the front  thats radical;extremist
hops drier;oast
like some mass parts;sung
historical stretch;era
shop talk;lingo
edgy;outer
the god literally;allah
educate;teach
horizontal thread in a fa;weft
storied raider;apache
something to be struck wi;awe
quibble;cavil
accent;stress
all the stage is his worl;actor
use a frisbee;toss
use an atomizer;mist
acquire knowledge;learn
tree natural resource near kentish coastal area;seashore
zoning measure;acre
put up;ante
voracity;greed
tapenade ingredient;anchovy
humble;unassuming
like some responsibilitie;civic
coal carrier;tram
came together;wed
beach coverup;caftan
allergic reaction;sneeze
alexander eg;czar
devil;dickens
restaurant;bistro
sound made while working;snip
potash;lye
tusked beast;boar
part of batting instructi;stance
friend regularly supplied claret perhaps;red
tropical flier;toucan
sudden impulse;caprice
kind of rinse;oral
sly tactic;ruse
vw or volvo;auto
quran part;apostrophe
underhanded;sly
one of 12 in the new test;apostle
worshipped object;idol
product of a mold;ingot
relax employing muscle to get deference;respect
rip off;fleece
sleep on it;mattress
helping hand;aid
enjoy pickle;relish
quiet exercises;yoga
soreness;ache
snapper;camera
a nonbeliever elected guerrilla leader;infidel
fruit for a tart;currant
stroll along;amble
cat say returning to house left feathers;plumage
jinx;hoodoo
take potshots at;snipe
knocked back royal beer;lager
coffee lure;aroma
main part of a knife;blade
ruin with up;gum
unmentioned;other
mules father;donkey
small amount;pinch
badtempered;mean
lot;kismet
pointed beard;goatee
champagne and orange juice;mimosa
from which;whereof
keypads function;input
fair;reasonable
add fuel to as a fire;stoke
clergymans residence;vicarage
setting;scene
unyielding;rigid
frequently;oft
square setting;town
macaroni topping;cheese
one praised in mecca;allah
record set by border taking an age to get to fifty is shortlived;ephemeral
pitchfork wielder;satan
soap scent;lilac
like some ruins;aztec
western law enforcement g;posse
bulls urging;buy
like bronze or tin;rustproof
provide with more than enough;sate
book burrower;scholar
took care of;minded
pass though a sieve;sift
hearty breakfast;omelette
excite;enthuse
billionaires home maybe;estate
mimic;parrot
tack on;attach
not nerdy;cool
holiday;rest
victim of hermes;argus
trampled;trod
the allman brothers band;sextet
practically nothing;jot
bitterly cold;icy
like albany or chicago;upstate
poly follower;ester
on the tail of;after
paperfolding creation;airplane
wild place;west
one who knows all the sec;insider
its often rented;tuxedo
ones required when moving innocent chap around;pantechnicon
lions home;den
beatles title came across a greeting in one;something
angel on ones shoulder;conscience
combining to form a whole;complementary
worried;concerned
sch calendar abbr;pta
previously;nee
freeway access;ramp
italians bye;ciao
fateful day in the roman;ides
belgian battle site;waterloo
monte rosa eg;alp
cuts partner;paste
rubberneck;gape
frailty;weakness
stolen loot;haul
san diego player;padre
workers in the field;oxen
oxford protector;galosh
food fish;bream
do the bidding of old turkish governor;obey
camembert alternative;brie
its in the winds;oboe
alpine singing effect;yodel
critical examiner;analyst
insult slangily;rip
support;underlie
hosiery color;taupe
bump;jostle
it may be found in a den;opium
lounge lizards look;leer
struggle;tussle
unchanged or novel;original
regal fur;ermine
big name in construction;lego
metal refuse;slag
arctic dweller;lapp
on the authority of;per
derby distance maybe;mile
danger of the deep;orca
halfhearted;lukewarm
certain strain;flu
visitor from beyond the s;alien
partook of;ate
what makes you you;ego
be lovesick;yearn
a quiet request not to finish fruit;apple
pound;throb
official language of paki;urdu
tamarack tree;larch
loose shirt or dress;kaftan
scratch pad;hell
lunch time maybe;one
carrier to oslo;sas
cheeky young girl;minx
bases opposite;acid
sporting item suggesting square leg;ninepin
trident feature;tine
on holiday;away
gooey stuff;slime
brevipennate bird;emu
words to a song;lyric
masseurs need;oil
popular jeans;levis
thickly fibrous;ropy
mardi gras wear;mask
where salem is abbr;ore
reveal;unmask
sky bear;papa
enthusiastically support bench centrally associated with modern era;encourage
tourist info spot;kiosk
traveller customer at restaurant who belches a lot;repeater
report letters;tnt
fix into place;install
invisible ink user;spy
hindrance for superman;lead
possible result of high t;delirium
forest female;doe
kind of tomato;plum
wed;marry
pull off;achieve
like many fans;avid
hardly a little angel;brat
help from a bullpen;relief
where oils may be produce;atelier
similar;parallel
naturalness;ease
repairmans offering;estimate
paul bunyan story;yarn
windblown;eolian
british medic hasnt started to develop;burgeon
slump;sag
golden horde member;mongol
split up;divvy
denounce;condemn
undercover device;wire
greeting for a villain;hiss
seaquake sequel;tsunami
subway handhold;strap
framework;grid
eat;ingest
locale of riches;lode
leased;chartered
banded rock;gneiss
spectator;bystander
word before long or now;ere
bring home;net
act humanly;err
old testament murderer;cain
saw uncontained fire must spread;truism
solid with square faces;cube
rope used to restrain an animal;leash
pandemonium;zoo
foulmouthed;filthy
move down the runway;sashay
infuse with carbon dioxid;aerate
lambs father;ram
breakin deterrent;alarm
britney spears to some;idol
expedite nothing at all at silly sounding gallery;facilitate
virgils tongue;latin
email predecessor;telex
brace;duo
longhaired cat goat or rabbit;angora
light case;lantern
broken mirror say;omen
have another go at poor terry;retry
do 4s 8 to get good skin;grind
fled from leaderless country;ran
pitch and run succeeded at first;slope
cleric  canoed;deacon
tick off;steam
palm type;sago
place for a marquee;cinema
river mouth;delta
itar news agency;tass
milestone;event
light pastry;choux
freewheel;coast
hill worker;ant
language related to xhosa;zulu
wild flower;campion
repudiate;abjure
reverberation;peal
goahead signal;nod
lady abroad;frau
hides on a frame;tepee
use a keyboard;type
gold streak;lode
wiener schnitzel meat;veal
n2o eg;gas
la scala star;diva
lady;madam
stuff;matter
mix up;addle
shrimp boat eg;trawler
use scissors;snip
provide with a rear view;moon
instrument for orpheus;lyre
put into service;use
caulking material;putty
hip 1960s teen;mod
person in a booth maybe;voter
notion;idea
what the corn mill is doing perhaps is very loud;ear-splitting
help illegally;abet
send away;banish
malicious or terribly up itself;spiteful
sappers supporting desire for glory;lustre
semite;jew
lohengrin the knight of;swan
washington daily;post
retaliate on behalf of;avenge
racetrack tout;tipster
fewest;least
screen siren west;mae
a street dog not the first to bring surprise;astound
what a dog walker holds o;leash
tips eg;advice
leapt;sprang
military base;fort
disinclination to change;inertia
like a tack;sharp
object of a latin prayer;pater
beat at the ballot box;outvote
acceptable to apply oneself in the beginning;onset
obtained illegally;stolen
enthusiastic writeup;rave
hit the road;went
not pick up;ignore
flaring star;nova
aircraft with pontoons;seaplane
physical state;gas
tolkien forest giant;ent
yearround alp topper;snowcap
trade;swap
melancholic;downcast
golfers selection;iron
like good arguments;tenable
material for informal jac;denim
be far better than;outclass
peelers target informal;spud
scalebusting;obese
sweater size;large
previously named;nee
from the top;afresh
feature of many a ring;inset
comply;obey
hullabaloo;rumpus
thorn once;letter
vessel in twenty thousan;nautilus
weightlifters maneuver;curl
santas helper;elf
the first lady;eve
lightcolored;sandy
descend;sink
place for shots;tavern
shakespearean verse;sonnet
hemispherical home;igloo
poise;aplomb
piece by matisse;art
place for a knot;tree
steamy;hot
questionnaire datum;sex
believers goal;mecca
gardeners bagful;loam
santa;maria
fieldings wanton nogood heathen;infidel
be apprehensive;dread
lock site maybe;diary
rough area cavalry defends;hoarse
eastern priest;lama
starstruck sort maybe;wannabe
high honor;ace
want;dearth
unfeminine;macho
evolutionary intermediate;apeman
drive recklessly;careen
wedding attendant;usher
having good reason to expect degree learners relaxed;informal
banks of the cubs;ernie
management course subject;anger
knock;ratatat
open;unstop
extensive;long
marry secretly;elope
locus;site
do away with like a 1950;finish
like a bunch;adore
figure out from;infer
slow roller;lava
comedy centrals the;daily
beginning to cause fuss over ending;coda
gown;dress
hoverer near gods throne;seraph
roly;poly
kind of test or rain;acid
be of use;avail
showy bloom;amaryllis
brown condiment;soy
shuffle along;shamble
wrong;erroneous
postgame discussion;recap
turkish practice;islam
it can make the face red;acne
place for a guard in soc;shin
rap session;seance
muffin ingredient;bran
openmouthed;agape
downhearted;sad
incisors for example;teeth
leave alone;desert
dwelling;home
isaac sterns instrument;violin
dont bother with seconds of your cake its disgusting;yuck
mr right with the;one
mattress for sleeping on the floor;futon
instigate litigation;sue
fakeout;ruse
on the outside;external
closefitting tartan pant;trews
symbol of innocence and p;lily
fight stopper;apology
not easily satisfied;exacting
covered;awash
person with a medal mayb;hero
supply boat;packet
sarcophagus lid;slab
sidestep;avoid
put on an unhappy face;mope
move;relocate
fleetrelated;naval
word before youre killi;stop
locks locale;canal
unbound;loose
you having changed just one letter should get a medal;silver
get rid of a shadow;shave
overproud;smug
red october detector;sonar
like some warranties;extended
blame bearer;goat
bookies figures;odds
disparaging;snide
irritation;rub
say;state
musical composition a strain too baroque;trio
religious person with a t;sikh
soya bean curd;tofu
blown away;gaga
upbeat;rosy
break a commandment;sin
fouralarm fire;inferno
use a stopwatch;time
kern and hammersteins c;dat
dirty political tactic;smear
it may come from a barrel;ale
kgb rival;cia
misbehave with up;act
far from flustered;serene
vast multitude;legion
melon peel;rind
sea lettuce eg;alga
ironrich dish;liver
us author frost ultimately  this;poet
fork out in advance of delivery;prepay
a lot up front;ultra
pillow filler;down
its out of this world;alien
caffeinerich nut;kola
filling yarn;weft
best on the links;lowest
kind of master;zen
chauffeurs order;home
ashram leader;guru
starbucks order;mocha
beer and lemonade drink;shandy
future shoot;seed
soothe;pacify
unsafe;out
quietus;rest
apart from start of couplet poem is something designed to scan;bar code
blemish;wart
inventorys place;shelf
tack item;harness
harmony of opinions;agreement
have trust;rely
shining;radiant
past the golf pin say;long
use schedule a;itemize
cut;sawn
jazz lick;riff
hyphenate with american;asian
oust from practice;disbar
house wing;ell
singleton;one
face employees corrupt new 24;miner
feeble like an old reaper might you say;sickly
word after ginger or brow;ale
dad;papa
ratatouille ingredient;zucchini
dull hurt;ache
no longer carrying curren;dead
antibond org;kgb
its sometimes given to p;mercy
gormandizer;eater
peevish;irritable
lingering trace;vestige
hot dog topper;chili
bridget fonda to jane;niece
beach material;sand
beau ideal;epitome
bestow;award
chiang mai native;thai
furnace tender;stoker
hardly spare;ornate
overdramatic one;ham
paint none too delicately;daub
take the cake;win
not in so many words;tacit
museum offering;art
part of a family;species
the p in pta;parent
sitting on a seat thats empty to go;astride
throatclearing sound;ahem
model;paradigm
curly strand;tendril
rub the wrong way;rile
malfoys look in the har;sneer
prayer partner;wing
rubbish review created issue around book;debris
handel oratorio;messiah
lx;sixty
from one continent;african
pass over;elide
drawing;lot
misspeak eg;err
performing on stage;acting
bulgar eg;slav
harbinger of spring;robin
fly like an eagle;soar
afterclass aide;tutor
car engine component;fan
terse order to a chauffeu;home
obscured;hid
middle eastern agents surrounding pub backing west;arabic
wide grassy plain;prairie
like a certain number;nth
dunk eg;basket
reader of someone elses;snoop
acquire;get
computer exec michael;dell
tiny;miniature
go down;wane
certain badger or raccoon;boar
secret stock;stash
great delight;glee
evergreen shrub;myrtle
between the lines;tacit
advice given to middlemen  move quietly;tiptoe
atlass locale;bookcase
earrelated;aural
coffee break;rest
garfield eg;cat
dove sound;coo
faction;side
certain hockey player;goalie
scent;smell
fall from grace;err
plant runner;resin
white knight;hero
melon protector;rind
andorrans tongue;catalan
screwdriver for example;cocktail
speck;atom
big fat zero;nil
serving to punish;penal
kamasutra focus;eroticism
below in poesy;neath
road bend;jog
queens headgear;tiara
postgraduate field;law
scifis doctor;who
setting for some oratory;senate
part;segment
itsybitsy creature;amoeba
existence;life
officers honorific;sir
atahualpa for one;inca
it guards the heart;ribcage
letter in a mysterious in;rune
quack remedy;nostrum
monopoly game marker;terrier
bad breath cause maybe;onion
great britain eg;isle
run for;vie
like thongs;scanty
angle producers;radii
wellrehearsed;ready
it comes in fits;pique
export;send
twisting;snaky
germany and thailand have abandoned a theatrical old language;aramaic
an overabundance;piles
girl in a gown;deb
like a wisecrack;sardonic
it can be doublesided;axe
noise made by my body;corps
one in a line;scion
fire up;arouse
stop up;cork
in the air;loop
concerning;about
recover;reclaim
rifle part;sight
lozenge;pastille
big brute;ape
it has dynamics;group
certain wmd;nuke
cellular construction;hive
fish basket;creel
scurried;sped
already in the mail;sent
curry powder ingredient;turmeric
item designed to be blown;kite
hearty beer eg;quaff
olive product;oil
handy underwear longing to hold it up;nearby
greenhorn;colt
wild party;bash
smaller cousin of 67acro;tent
prom dress material;tulle
film on ponds;scum
it has a lustrous face;sateen
kind of line;bus
christmastime;yule
extinguish;kill
tempting one;satan
mtvs the  world;real
party leads to chaos after boozy antics listed;cabal
unknown novelist gets an award;random
precious mettle;spunk
crete;erect
leftovers;residue
invitee;guest
pythons kin;boa
backofbook feature;glossary
thing eg;noun
expression of disbelief;stare
like pottery;ceramic
yielding;pliant
broadway backer;angel
heat up;excite
left bank frequenter;artiste
wretched dwelling;hovel
asian;oriental
always effective;sure
twangy as a voice;nasal
treeless tract;steppe
affirmative on board;aye
fish on the sea bed;kipper
ferns seed;spore
goop;gel
army signalling;semaphore
it may be bitter;ale
food device;processor
hardwear;armor
millionselling harry con;she
turban wearer maybe;swami
unusual partner;cruel
france before it was fran;gaul
it might hit the high not;aria
commercial vehicle;lorry
more work;utopia
statistics figure;mode
frequently to frost;oft
rich soil deposit;loess
herb popular in indian fo;cumin
calcutta wrap;sari
not domesticated;feral
go bad as teeth;decay
interval;gap
fix;redo
uncle;sam
something to secure flat piece of hair;padlock
exterior;outer
kind of shower;bridal
high  like walls in the pennines;stoned
subject to disproval;deniable
bride after the vows;wife
standings stat;win
place to get a reuben;deli
preremote channel change;knob
vase held by sculpted saint seen on top of elgars grave;saturnine
window shoppers buy;pane
something handed down;sentence
with it mentally;sane
kind of beetle;stag
rain and snow mixed;sleet
highest number in keno;eighty
indian coin;rupee
lowest number on a clock;six
dispute;argue
striking likeness;ringer
the i of icbm;inter
diluting agent;thinner
caged song bird;canary
it may be under a coat;sealant
cash alternative;charge
tailors measure;waist
masters requirement oft;thesis
paint palette accompanier;brush
s o s eg;plea
reaping hook;sickle
what shifty eyes do;dart
musthaves;needs
dumbhead;ass
make like new;restore
walter reed eg;surgeon
sad time;mourning
sackmaking fibre;jute
pupils spot;eye
liberal party;orgy
outlaws refuge;den
where the laity sits;nave
sir in colonial india;sahib
overdo it onstage;emote
respond to a knock;answer
sighting off the florida;manatee
grape plant;vine
milkywhite gem;opal
alarms function about to be inscribed;siren
blue jays on a scoreboar;tor
arithmetic mean;average
lift up;exalt
talk like jimmy stewart;drawl
hand demand;ante
grilled meat dish;kebab
work done on the premises;logic
invitation word;come
top;outdo
knock it off;cease
well going round ship is a problem;hassle
no sixteen fouled in extra time;extension
storybook character;ogre
reader of signs;seer
look too closely;pry
touch;knack
hors doeuvre spread;pate
lacking significance;jejune
rain gear material;oilskin
deans world;academia
locust tree;acacia
tech magazine;byte
like some pools;tidal
recipe instruction;step
pitchfork sticker;titan
coral island surrounding a lagoon;atoll
liquor holder in a coat p;flask
cut of meat;loin
actor rathbone;basil
dojo discipline;karate
formal girl;deb
royal domain;realm
fruitfilled pastry;strudel
grammarian;usage
stair section;step
go over and over as argu;rehash
merriment;glee
tea leaves alternative;tarot
repugnant;odious
pleasureful retreat;villa
get going;start
small notch;nick
petal product;attar
knights attendant;varlet
stings instrument;bass
savage;brute
crisscrossed;wove
meet the requirements;pass
place for an emoticon;email
fort;garrison
actor john;ast
shortlegged thickset h;cob
united group;bloc
welsh valley;cwm
chorus voice;alto
plant unusual bush about right;shrub
storefront cover;awning
temporary;acting
genghis;khan
jettisoned compartment;pod
potters pedal;treadle
critic ebert;roger
make as a guess;venture
baby screecher;owlet
heater component;coil
sleeveless jacket;jerkin
pare nails back;snip
it kept a princess up;pea
used a pew;sat
hit lightly;tap
abandon;ditch
adder;sum
more than irk;gall
incense;ire
comprehension;uptake
proceed without the words;hum
delete from a disk;erase
horn blast;toot
terse to the point of rud;curt
draped dress;sari
place for a pavilion;expo
cheerleaders practice;yell
rocks to a bartender;ice
not be resolved;hang
ladies or gents eg;loo
kind of position;lotus
protected;safe
it needs a good paddling;canoe
isolated;alone
actor luke;perry
plot feature in many a we;ambush
pollute;debase
palenque native;maya
chapel topper;spire
what for beckenbauer also makes a team;hero
great healer so they say;time
sports club employees start to grumble about stick;ground staff
act as a link between groups;liaise
early pop;dada
show greed or impatience;grab
slanted type;italic
jam;clog
highlands hillside;brae
party happening at the end of term;labour
yahoo;boor
kiln;oven
assistant;acolyte
south african gold discov;rand
full assembly;plenum
plot resolution;denouement
overconfident;smug
wordofmouth;oral
cow crowd;herd
played again;reran
gather confession from fool;amass
roseannes network;abc
emmywinning character ac;coco
fa;cedilla
minstrels offering;canto
one of tvs cartwrights;adam
disgusting one;toad
god;lord
soapmakers need;tallow
cutup;ham
dinnerandashow venue;cabaret
dish served with a big sp;stew
staff rejected cunning slogan oft repeated;mantra
packed with ideas as an;dense
one delivers crushing response limits to party time love;python
interior decorators conc;motif
part of pst abbr;std
side with the ball;offense
sound from the fold;bleat
raised;bred
item buried in a lawn;acorn
area of mars;war
drinkers nextday woe;hangover
state ones views;opine
popular email provider;yahoo
got larger;grew
grain bane;ergot
london side no longer established in leading group;wham
annul;undo
have no particular place;gad
knock out tory before central part of discussion;concuss
iron man;robot
depraved noble doesnt begin to accept proposal for coastal walk;esplanade
popular table wine;claret
yearend air;noel
point in the right direct;east
indicator of change sign mostly displayed in centre of trade;barometer
smudge;blot
tory prime minister 195557;eden
lock up;secure
plague half contained in saga;epidemic
show staff new respect;sceptre
target of a sweep;soot
eat formally;dine
basin accompanier;ewer
tugofwar;tussle
welsh town needing hospital orderly;neat
pregame fixture;anthem
soave eg;wine
judges announcement;recess
timespan for the economis;week
awful mistake;snafu
doctor chats with many a sailor;yachtsman
travelled;rode
wears jauntily;sports
suck in;dupe
a bear;papa
cut down;slay
smelting waste;slag
moon shine;glow
word with black or fire;opal
not entirely human;bionic
anglo war;boer
rock layer;shelf
last letter;omega
mexican state or a produc;tabasco
look accompanying a line;ogle
pigeons perch;ledge
captains charge;log
daisylike bloom;aster
bachelors lack;wife
immovable type;stoic
temple image;idol
holding;asset
moist as a cellar;dank
her costar excited a lot of players;orchestra
commit a crime;perpetrate
web users woe;wait
pursue;seek
bit of wisdom;adage
sportscaster andrews;erin
peek;glance
surgical knife;scalpel
it might include hot dogs;menu
go out very slowly;seep
a chorus line;alto
selling point in cigarett;taste
away;out
record companys assets personnel profits losses and expenses to begin with;apple
bitter to a brit;ale
make into law;enact
top;apex
kind of aide;legislative
subj of form 1040s line;ira
tote;bag
look intently;peer
hoof smoother;rasp
genetic material;dna
blunderbuss cleaner;ramrod
british pm after lloyd;law
sloth eg;animal
its high when its red;alert
grease guns target;axle
deli side order;coleslaw
touched;bats
the abominable snowman f;biped
ribbed cloth;twill
a couple of germans in cast not well groomed;shaggy
tree decoration;orb
fly smoothly;glide
smith eg;artisan
aim improver;scope
certain letter;fax
strapped;needy
martini garnish;olive
yappy dog briefly;peke
equal in a way;tie
meower;cat
short trip to perform a task;errand
medium of divine revelation;oracle
take someone to court;sue
it may be found in an ele;wheat
golf club part;grip
slip on;don
mark permanently;etch
camera part;iris
thesis basis;idea
cancel appointment after misbehaviour of heartless villain;invalidate
digestive juice;bile
circle;coterie
a bed in the kitchen;rice
new colonist;settler
perpetual;eternal
withdrawing to a private;r
trade is bad though up;astride
many cyberads;spam
stir too vigorously making rice dish;risotto
wild lost fish used for a reminder;mnemonic
kissykiss;smooch
clay pottery;earthenware
dogs owner;master
manipulative sort;user
bar creation;salad
nuclear reactor need;coolant
place to buy cotton candy;fair
become popular on social media;trend
pulled out a piece;drew
olympus support;tripod
prepare to take off former volunteers on team;taxi
painters medium;oil
literally to god;adieu
celebrate with the french bachelor;single
onethird of a hat trick;goal
petach tikva resident;israeli
quantity of water upset canoe;ocean
word said with a hand beh;uncle
bart starr wore it at gre;fifteen
